
------------------------------------------------------------------------------
Elevation report for the watershed      31 May 2020 10.33

------------------------------------------------------------------------------

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 1789
  Maximum elevation: 2045
     Mean elevation: 1894.10
 Standard deviation: 60.65

              Elevation          % area up to elevation    % area of watershed
                2007                    97.23                     0.06
                2008                    97.36                     0.13
                2009                    97.47                     0.11
                2010                    97.58                     0.11
                2011                    97.72                     0.14
                2012                    97.87                     0.15
                2013                    98.00                     0.13
                2014                    98.22                     0.21
                2015                    98.35                     0.13
                2016                    98.51                     0.16
                2017                    98.64                     0.13
                2018                    98.80                     0.16
                2019                    98.95                     0.15
                2020                    99.12                     0.17
                2021                    99.23                     0.11
                2022                    99.40                     0.17
                2023                    99.59                     0.19
                2024                    99.62                     0.04
                2025                    99.68                     0.06
                2026                    99.75                     0.06
                2027                    99.80                     0.05
                2028                    99.82                     0.02
                2029                    99.85                     0.03
                2030                    99.86                     0.01
                2031                    99.88                     0.02
                2032                    99.89                     0.01
                2033                    99.90                     0.01
                2034                    99.92                     0.02
                2035                    99.94                     0.01
                2036                    99.95                     0.01
                2037                    99.95                     0.01
                2038                    99.95                     0.00
                2039                    99.97                     0.02
                2040                    99.97                     0.00
                2041                    99.98                     0.01
                2042                    99.98                     0.01
                2043                    99.99                     0.01
                2044                    99.99                     0.00
                2045                   100.00                     0.01

------------------------------------------------------------------------------
Subbasin 1

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 1798
  Maximum elevation: 1880
     Mean elevation: 1834.11
 Standard deviation: 17.46

              Elevation          % area up to elevation    % area of subbasin
                1798                     0.16                     0.16
                1799                     0.31                     0.16
                1800                     1.05                     0.74
                1801                     2.14                     1.09
                1802                     3.23                     1.09
                1803                     3.70                     0.47
                1804                     4.75                     1.05
                1805                     6.23                     1.48
                1806                     7.94                     1.71
                1807                     9.30                     1.36
                1808                    11.29                     1.99
                1809                    12.57                     1.28
                1810                    13.62                     1.05
                1811                    14.83                     1.21
                1812                    16.35                     1.52
                1813                    17.24                     0.90
                1814                    18.57                     1.32
                1815                    20.63                     2.06
                1816                    22.07                     1.44
                1817                    23.43                     1.36
                1818                    24.56                     1.13
                1819                    25.26                     0.70
                1820                    26.31                     1.05
                1821                    27.25                     0.93
                1822                    28.49                     1.25
                1823                    29.54                     1.05
                1824                    30.48                     0.93
                1825                    31.72                     1.25
                1826                    33.05                     1.32
                1827                    34.41                     1.36
                1828                    36.05                     1.63
                1829                    37.87                     1.83
                1830                    39.16                     1.28
                1831                    40.17                     1.01
                1832                    41.53                     1.36
                1833                    42.86                     1.32
                1834                    44.34                     1.48
                1835                    45.58                     1.25
                1836                    47.18                     1.60
                1837                    48.85                     1.67
                1838                    51.23                     2.37
                1839                    53.13                     1.91
                1840                    54.89                     1.75
                1841                    57.18                     2.30
                1842                    60.57                     3.39
                1843                    63.49                     2.92
                1844                    66.06                     2.57
                1845                    68.35                     2.30
                1846                    71.66                     3.31
                1847                    74.74                     3.08
                1848                    78.05                     3.31
                1849                    81.39                     3.35
                1850                    84.12                     2.72
                1851                    86.65                     2.53
                1852                    88.98                     2.34
                1853                    90.54                     1.56
                1854                    92.02                     1.48
                1855                    92.88                     0.86
                1856                    93.69                     0.82
                1857                    94.16                     0.47
                1858                    94.75                     0.58
                1859                    95.37                     0.62
                1860                    95.80                     0.43
                1861                    96.54                     0.74
                1862                    96.96                     0.43
                1863                    97.31                     0.35
                1864                    97.55                     0.23
                1865                    97.86                     0.31
                1866                    98.01                     0.16
                1867                    98.21                     0.19
                1868                    98.40                     0.19
                1869                    98.64                     0.23
                1870                    98.87                     0.23
                1871                    99.26                     0.39
                1872                    99.34                     0.08
                1873                    99.46                     0.12
                1874                    99.65                     0.19
                1875                    99.73                     0.08
                1876                    99.84                     0.12
                1877                    99.88                     0.04
                1878                    99.92                     0.04
                1879                    99.96                     0.04
                1880                   100.00                     0.04

------------------------------------------------------------------------------
Subbasin 2

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 1846
  Maximum elevation: 2045
     Mean elevation: 1912.97
 Standard deviation: 35.11

              Elevation          % area up to elevation    % area of subbasin
                1846                     0.10                     0.10
                1847                     0.12                     0.02
                1848                     0.24                     0.12
                1849                     0.39                     0.15
                1850                     0.56                     0.17
                1851                     0.83                     0.27
                1852                     1.09                     0.27
                1853                     1.48                     0.39
                1854                     2.04                     0.56
                1855                     2.48                     0.44
                1856                     3.11                     0.63
                1857                     3.55                     0.44
                1858                     4.18                     0.63
                1859                     4.88                     0.70
                1860                     5.37                     0.49
                1861                     5.95                     0.58
                1862                     6.73                     0.78
                1863                     7.26                     0.53
                1864                     8.14                     0.87
                1865                     8.79                     0.66
                1866                     9.57                     0.78
                1867                    10.33                     0.75
                1868                    11.18                     0.85
                1869                    11.93                     0.75
                1870                    12.49                     0.56
                1871                    13.29                     0.80
                1872                    14.41                     1.12
                1873                    15.18                     0.78
                1874                    15.96                     0.78
                1875                    16.57                     0.61
                1876                    17.18                     0.61
                1877                    18.10                     0.92
                1878                    18.93                     0.83
