
------------------------------------------------------------------------------
Elevation report for the watershed      31 May 2020 10.33

------------------------------------------------------------------------------

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 1789
  Maximum elevation: 2045
     Mean elevation: 1894.10
 Standard deviation: 60.65

              Elevation          % area up to elevation    % area of watershed
                1820                    24.01                     1.10
                1821                    24.96                     0.96
                1822                    25.92                     0.96
                1823                    27.25                     1.33
                1824                    28.28                     1.03
                1825                    29.31                     1.03
                1826                    30.04                     0.74
                1827                    30.56                     0.52
                1828                    31.00                     0.44
                1829                    31.66                     0.66
                1830                    32.47                     0.81
                1831                    33.28                     0.81
                1832                    34.32                     1.03
                1833                    34.68                     0.37
                1834                    35.42                     0.74
                1835                    36.16                     0.74
                1836                    36.82                     0.66
                1837                    37.56                     0.74
                1838                    37.92                     0.37
                1839                    38.29                     0.37
                1840                    39.32                     1.03
                1841                    40.35                     1.03
                1842                    41.02                     0.66
                1843                    41.38                     0.37
                1844                    42.12                     0.74
                1845                    42.49                     0.37
                1846                    43.45                     0.96
                1847                    44.04                     0.59
                1848                    45.21                     1.18
                1849                    45.88                     0.66
                1850                    46.76                     0.88
                1851                    47.57                     0.81
                1852                    48.75                     1.18
                1853                    49.56                     0.81
                1854                    50.52                     0.96
                1855                    51.03                     0.52
                1856                    52.14                     1.10
                1857                    52.80                     0.66
                1858                    54.12                     1.33
                1859                    54.93                     0.81
                1860                    56.19                     1.25
                1861                    57.14                     0.96
                1862                    58.10                     0.96
                1863                    59.28                     1.18
                1864                    60.31                     1.03
                1865                    61.56                     1.25
                1866                    62.67                     1.10
                1867                    63.77                     1.10
                1868                    64.87                     1.10
                1869                    65.46                     0.59
                1870                    66.13                     0.66
                1871                    67.45                     1.33
                1872                    68.85                     1.40
                1873                    69.88                     1.03
                1874                    70.91                     1.03
                1875                    71.58                     0.66
                1876                    73.12                     1.55
                1877                    74.52                     1.40
                1878                    75.55                     1.03
                1879                    76.44                     0.88
                1880                    77.17                     0.74
                1881                    78.20                     1.03
                1882                    79.09                     0.88
                1883                    79.82                     0.74
                1884                    80.56                     0.74
                1885                    81.59                     1.03
                1886                    82.70                     1.10
                1887                    83.65                     0.96
                1888                    84.09                     0.44
                1889                    85.13                     1.03
                1890                    86.16                     1.03
                1891                    86.89                     0.74
                1892                    87.70                     0.81
                1893                    88.59                     0.88
                1894                    88.88                     0.29
                1895                    89.47                     0.59
                1896                    90.50                     1.03
                1897                    91.09                     0.59
                1898                    91.97                     0.88
                1899                    92.93                     0.96
                1900                    93.74                     0.81
                1901                    94.48                     0.74
                1902                    95.51                     1.03
                1903                    96.10                     0.59
                1904                    96.69                     0.59
                1905                    97.13                     0.44
                1906                    97.35                     0.22
                1907                    97.42                     0.07
                1908                    97.57                     0.15
                1909                    97.86                     0.29
                1910                    98.01                     0.15
                1911                    98.23                     0.22
                1912                    98.23                     0.00
                1913                    98.31                     0.07
                1914                    98.45                     0.15
                1915                    98.60                     0.15
                1916                    98.60                     0.00
                1917                    98.67                     0.07
                1918                    98.67                     0.00
                1919                    98.82                     0.15
                1920                    98.90                     0.07
                1921                    98.90                     0.00
                1922                    98.97                     0.07
                1923                    98.97                     0.00
                1924                    98.97                     0.00
                1925                    99.04                     0.07
                1926                    99.04                     0.00
                1927                    99.12                     0.07
                1928                    99.12                     0.00
                1929                    99.26                     0.15
                1930                    99.34                     0.07
                1931                    99.34                     0.00
                1932                    99.34                     0.00
                1933                    99.41                     0.07
                1934                    99.41                     0.00
                1935                    99.41                     0.00
                1936                    99.41                     0.00
                1937                    99.56                     0.15
                1938                    99.63                     0.07
                1939                    99.85                     0.22
                1940                    99.85                     0.00
                1941                    99.85                     0.00
                1942                    99.85                     0.00
                1943                    99.85                     0.00
                1944                    99.93                     0.07
                1945                   100.00                     0.07

------------------------------------------------------------------------------
Subbasin 7

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 1789
  Maximum elevation: 1794
     Mean elevation: 1790.94
 Standard deviation: 0.98

              Elevation          % area up to elevation    % area of subbasin
                1789                     5.00                     5.00
                1790                    33.00                    28.00
                1791                    75.00                    42.00
                1792                    94.00                    19.00
                1793                    99.00                     5.00
                1794                   100.00                     1.00

------------------------------------------------------------------------------
Subbasin 8

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 1923
  Maximum elevation: 2043
     Mean elevation: 1981.91
 Standard deviation: 25.23

              Elevation          % area up to elevation    % area of subbasin
                1923                     0.05                     0.05
                1924                     0.09                     0.05
                1925                     0.14                     0.05
                1926                     0.23                     0.09
                1927                     0.23                     0.00
                1928                     0.59                     0.36
                1929                     0.96                     0.36
                1930                     1.37                     0.41
                1931                     1.69                     0.32
                1932                     2.14                     0.46
                1933                     2.46                     0.32
                1934                     2.78                     0.32
                1935                     3.10                     0.32
                1936                     3.64                     0.55
                1937                     4.05                     0.41
                1938                     4.51                     0.46
                1939                     5.01                     0.50
                1940                     5.65                     0.64
                1941                     6.56                     0.91
                1942                     7.06                     0.50
                1943                     7.56                     0.50
                1944                     8.02                     0.46
                1945                     8.61                     0.59
                1946                     9.16                     0.55
                1947                     9.66                     0.50
                1948                    10.43                     0.77
                1949                    11.16                     0.73
                1950                    11.98                     0.82
                1951                    12.98                     1.00
                1952                    13.67                     0.68
                1953                    14.53                     0.87
                1954                    15.49                     0.96
                1955                    16.63                     1.14
                1956                    17.81                     1.18
                1957                    19.32                     1.50
                1958                    19.95                     0.64
                1959                    21.05                     1.09
                1960                    22.14                     1.09
                1961                    23.28                     1.14
                1962                    24.46                     1.18
                1963                    25.79                     1.32
                1964                    26.97                     1.18
                1965                    27.93                     0.96
                1966                    29.34                     1.41
                1967                    30.62                     1.28
                1968                    31.80                     1.18
                1969                    33.35                     1.55
                1970                    34.85                     1.50
                1971                    36.13                     1.28
                1972                    37.31                     1.18
                1973                    38.54                     1.23
                1974                    40.41                     1.87
                1975                    41.55                     1.14
                1976                    42.82                     1.28
                1977                    43.96                     1.14
                1978                    45.51                     1.55
                1979                    46.38                     0.87
                1980                    47.65                     1.28
                1981                    48.97                     1.32
                1982                    50.02                     1.05
                1983                    50.93                     0.91
                1984                    52.12                     1.18
                1985                    53.58                     1.46
                1986                    54.72                     1.14
                1987                    56.13                     1.41
                1988                    57.22                     1.09
                1989                    58.86                     1.64
                1990                    60.96                     2.10
                1991                    63.10                     2.14
                1992                    64.46                     1.37
                1993                    66.20                     1.73
                1994                    67.47                     1.28
                1995                    69.34                     1.87
                1996                    70.66                     1.32
                1997                    71.66                     1.00
                1998                    72.67                     1.00
                1999                    74.26                     1.59
                2000                    75.03                     0.77
                2001                    75.72                     0.68
                2002                    76.63                     0.91
                2003                    77.59                     0.96
                2004                    78.36                     0.77
                2005                    79.04                     0.68
                2006                    80.05                     1.00
                2007                    80.41                     0.36
                2008                    81.23                     0.82
                2009                    81.91                     0.68
                2010                    82.78                     0.87
                2011                    83.78                     1.00
                2012                    84.60                     0.82
                2013                    85.69                     1.09
                2014                    87.29                     1.59
                2015                    88.29                     1.00
                2016                    89.52                     1.23
                2017                    90.39                     0.87
                2018                    91.71                     1.32
                2019                    92.80                     1.09
                2020                    94.12                     1.32
                2021                    94.99                     0.87
                2022                    96.13                     1.14
                2023                    97.59                     1.46
                2024                    97.86                     0.27
                2025                    98.31                     0.46
                2026                    98.77                     0.46
                2027                    99.13                     0.36
                2028                    99.27                     0.14
                2029                    99.45                     0.18
                2030                    99.45                     0.00
                2031                    99.50                     0.05
                2032                    99.50                     0.00
                2033                    99.59                     0.09
                2034                    99.68                     0.09
                2035                    99.68                     0.00
                2036                    99.73                     0.05
                2037                    99.73                     0.00
                2038                    99.73                     0.00
                2039                    99.82                     0.09
                2040                    99.82                     0.00
                2041                    99.91                     0.09
                2042                    99.95                     0.05
                2043                   100.00                     0.05

------------------------------------------------------------------------------
Subbasin 9

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 1923
  Maximum elevation: 2037
     Mean elevation: 1974.94
 Standard deviation: 19.42

              Elevation          % area up to elevation    % area of subbasin
                1923                     0.09                     0.09
                1924                     0.09                     0.00
                1925                     0.17                     0.09
                1926                     0.35                     0.17
                1927                     0.61                     0.26
                1928                     0.96                     0.35
                1929                     1.40                     0.44
                1930                     1.92                     0.52
                1931                     2.10                     0.17
                1932                     2.45                     0.35
                1933                     2.79                     0.35
                1934                     3.06                     0.26
                1935                     3.32                     0.26
                1936                     4.28                     0.96
                1937                     4.63                     0.35
                1938                     4.98                     0.35
                1939                     5.24                     0.26
                1940                     5.76                     0.52
                1941                     5.94                     0.17
                1942                     6.29                     0.35
                1943                     6.64                     0.35
                1944                     7.42                     0.79
                1945                     7.77                     0.35
                1946                     8.82                     1.05
                1947                     9.08                     0.26
                1948                     9.69                     0.61
                1949                    10.39                     0.70
                1950                    11.27                     0.87
                1951                    11.79                     0.52
                1952                    12.23                     0.44
                1953                    12.93                     0.70
                1954                    13.62                     0.70
                1955                    14.50                     0.87
                1956                    15.55                     1.05
                1957                    16.33                     0.79
                1958                    18.17                     1.83
                1959                    19.56                     1.40
                1960                    20.96                     1.40
                1961                    22.62                     1.66
                1962                    24.19                     1.57
                1963                    24.98                     0.79
                1964                    26.46                     1.48
                1965                    28.38                     1.92
                1966                    29.78                     1.40
                1967                    31.79                     2.01
                1968                    33.45                     1.66
                1969                    35.20                     1.75
                1970                    36.77                     1.57
                1971                    38.34                     1.57
                1972                    41.22                     2.88
                1973                    42.53                     1.31
                1974                    44.72                     2.18
                1975                    47.34                     2.62
                1976                    49.26                     1.92
                1977                    51.09                     1.83
                1978                    53.71                     2.62
                1979                    56.51                     2.79
                1980                    59.48                     2.97
                1981                    63.23                     3.76
                1982                    65.41                     2.18
                1983                    69.08                     3.67
                1984                    71.79                     2.71
                1985                    75.98                     4.19
                1986                    78.17                     2.18
                1987                    81.57                     3.41
                1988                    82.62                     1.05
                1989                    83.41                     0.79
                1990                    84.72                     1.31
                1991                    85.41                     0.70
                1992                    85.94                     0.52
                1993                    86.55                     0.61
                1994                    87.34                     0.79
                1995                    88.21                     0.87
                1996                    89.17                     0.96
                1997                    89.69                     0.52
                1998                    90.48                     0.79
                1999                    91.62                     1.14
                2000                    91.88                     0.26
                2001                    92.58                     0.70
                2002                    92.93                     0.35
                2003                    93.36                     0.44
                2004                    93.62                     0.26
                2005                    94.06                     0.44
                2006                    94.32                     0.26
                2007                    94.59                     0.26
                2008                    94.93                     0.35
                2009                    95.37                     0.44
                2010                    95.46                     0.09
                2011                    95.72                     0.26
                2012                    96.42                     0.70
                2013                    96.51                     0.09
                2014                    96.94                     0.44
                2015                    97.03                     0.09
                2016                    97.29                     0.26
                2017                    97.64                     0.35
                2018                    97.73                     0.09
                2019                    98.08                     0.35
                2020                    98.34                     0.26
                2021                    98.52                     0.17
                2022                    98.69                     0.17
                2023                    98.86                     0.17
                2024                    98.95                     0.09
                2025                    99.04                     0.09
                2026                    99.21                     0.17
                2027                    99.30                     0.09
                2028                    99.39                     0.09
                2029                    99.48                     0.09
                2030                    99.56                     0.09
                2031                    99.65                     0.09
                2032                    99.74                     0.09
                2033                    99.74                     0.00
                2034                    99.83                     0.09
                2035                    99.91                     0.09
                2036                    99.91                     0.00
                2037                   100.00                     0.09

------------------------------------------------------------------------------
