 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et       tloss      eplant       esoil   surq_cont          cn          sw      sw_300     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   365    12    31  1991      23      23  hru23                604.511       0.000       0.000     139.939      14.168     154.107      18.859     324.816       0.000      67.169     257.646     139.939      89.493     203.868       8.847       0.000    2061.873       0.000       0.000       0.000       0.000       0.000     139.939       0.000       0.000      14.168       0.000       0.000
   365    12    31  1991      24      24  hru24                604.511       0.000       0.000     141.337      11.467     152.805      19.216     324.767       0.000      67.181     257.586     141.337      89.587     205.298       8.845       0.000    2061.917       0.000       0.000       0.000       0.000       0.000     141.337       0.000       0.000      11.467       0.000       0.000
   365    12    31  1991      25      25  hru25                604.511       0.000       0.000      40.134      52.317      92.451      11.009     385.957       0.000     280.971     104.985      40.134      76.576     133.003       6.046       0.000    2060.834       0.000       0.000       0.000       0.000       0.000      40.134       0.000       0.000      52.317       0.000       0.000
   365    12    31  1991      26      26  hru26                604.511       0.000       0.000      48.803       7.402      56.206      13.789     386.106       0.000     281.022     105.084      48.803      78.145     146.602       6.060       0.000    2061.748       0.000       0.000       0.000       0.000       0.000      48.803       0.000       0.000       7.402       0.000       0.000
   365    12    31  1991      27      27  hru27                604.511       0.000       0.000     121.013      71.712     192.726      13.539     325.415       0.000      66.913     258.501     121.013      88.017     182.515       8.858       0.000    2060.596       0.000       0.000       0.000       0.000       0.000     121.013       0.000       0.000      71.712       0.000       0.000
   365    12    31  1991      28      28  hru28                604.511       0.000       0.000     140.375      13.230     153.606      18.974     324.861       0.000      67.180     257.681     140.375      89.523     204.331       8.846       0.000    2061.412       0.000       0.000       0.000       0.000       0.000     140.375       0.000       0.000      13.230       0.000       0.000
   365    12    31  1991      29      29  hru29                604.511       0.000       0.000      43.172      39.025      82.197      11.950     385.927       0.000     280.918     105.010      43.172      77.111     137.714       6.052       0.000    2061.557       0.000       0.000       0.000       0.000       0.000      43.172       0.000       0.000      39.025       0.000       0.000
   365    12    31  1991      30      30  hru30                604.511       0.000       0.000     144.906       3.350     148.257      20.093     324.684       0.000      67.213     257.471     144.906      89.821     208.886       8.850       0.000    2061.673       0.000       0.000       0.000       0.000       0.000     144.906       0.000       0.000       3.350       0.000       0.000
   365    12    31  1991      31      31  hru31                604.511       0.000       0.000     125.830      57.275     183.105      14.988     325.321       0.000      67.003     258.317     125.830      88.433     188.334       8.857       0.000    2060.755       0.000       0.000       0.000       0.000       0.000     125.830       0.000       0.000      57.275       0.000       0.000
   365    12    31  1991      32      32  hru32                604.511       0.000       0.000     121.751      69.537     191.288      13.762     325.361       0.000      66.924     258.438     121.751      88.082     183.411       8.858       0.000    2060.946       0.000       0.000       0.000       0.000       0.000     121.751       0.000       0.000      69.537       0.000       0.000
   365    12    31  1991      33      33  hru33                604.511       0.000       0.000     125.741      57.403     183.144      14.966     325.386       0.000      67.009     258.378     125.741      88.427     188.248       8.857       0.000    2060.253       0.000       0.000       0.000       0.000       0.000     125.741       0.000       0.000      57.403       0.000       0.000
   365    12    31  1991      34      34  hru34                604.511       0.000       0.000     125.064      59.552     184.616      14.760     325.323       0.000      66.989     258.334     125.064      88.369     187.422       8.857       0.000    2060.850       0.000       0.000       0.000       0.000       0.000     125.064       0.000       0.000      59.552       0.000       0.000
   365    12    31  1991      35      35  hru35                604.511       0.000       0.000     123.369      64.587     187.956      14.255     325.361       0.000      66.958     258.403     123.369      88.224     185.389       8.858       0.000    2060.774       0.000       0.000       0.000       0.000       0.000     123.369       0.000       0.000      64.587       0.000       0.000
   365    12    31  1991      36      36  hru36                604.511       0.000       0.000     119.276      76.926     196.202      13.008     325.522       0.000      66.885     258.637     119.276      87.862     180.381       8.858       0.000    2059.875       0.000       0.000       0.000       0.000       0.000     119.276       0.000       0.000      76.926       0.000       0.000
   365    12    31  1991      37      37  hru37                604.511       0.000       0.000     126.887      54.801     181.688      15.277     324.997       0.000      66.988     258.009     126.887      88.514     189.489       8.856       0.000    2063.143       0.000       0.000       0.000       0.000       0.000     126.887       0.000       0.000      54.801       0.000       0.000
   365    12    31  1991      38      38  hru38                604.511       0.000       0.000     145.558       2.832     148.390      20.226     324.336       0.000      67.182     257.154     145.558      89.858     209.451       8.855       0.000    2064.252       0.000       0.000       0.000       0.000       0.000     145.558       0.000       0.000       2.832       0.000       0.000
   365    12    31  1991      39      39  hru39                604.511       0.000       0.000     140.237      13.972     154.209      18.921     324.564       0.000      67.146     257.418     140.237      89.509     204.112       8.846       0.000    2063.789       0.000       0.000       0.000       0.000       0.000     140.237       0.000       0.000      13.972       0.000       0.000
   365    12    31  1991      40      40  hru40                604.511       0.000       0.000     127.555      52.832     180.387      15.472     325.002       0.000      67.001     258.001     127.555      88.569     190.274       8.856       0.000    2062.995       0.000       0.000       0.000       0.000       0.000     127.555       0.000       0.000      52.832       0.000       0.000
   365    12    31  1991      41      41  hru41                604.511       0.000       0.000     147.656       0.000     147.656      20.691     324.241       0.000      67.193     257.048     147.656      89.990     211.496       8.880       0.000    2064.464       0.000       0.000       0.000       0.000       0.000     147.656       0.000       0.000       0.000       0.000       0.000
   365    12    31  1991      42      42  hru42                604.511       0.000       0.000     145.637       2.737     148.374      20.243     324.326       0.000      67.182     257.144     145.637      89.863     209.527       8.856       0.000    2064.314       0.000       0.000       0.000       0.000       0.000     145.637       0.000       0.000       2.737       0.000       0.000
   365    12    31  1991      43      43  hru43                604.511       0.000       0.000     127.390      53.536     180.926      15.417     324.892       0.000      66.985     257.907     127.390      88.554     190.050       8.856       0.000    2063.885       0.000       0.000       0.000       0.000       0.000     127.390       0.000       0.000      53.536       0.000       0.000
   365    12    31  1991      44      44  hru44                604.511       0.000       0.000     147.268       0.417     147.684      20.607     324.253       0.000      67.191     257.062     147.268      89.966     211.118       8.874       0.000    2064.459       0.000       0.000       0.000       0.000       0.000     147.268       0.000       0.000       0.417       0.000       0.000
   365    12    31  1991      45      45  hru45                604.511       0.000       0.000     126.021      57.312     183.332      15.024     325.020       0.000      66.974     258.047     126.021      88.443     188.473       8.857       0.000    2063.091       0.000       0.000       0.000       0.000       0.000     126.021       0.000       0.000      57.312       0.000       0.000
   365    12    31  1991      46      46  hru46                604.511       0.000       0.000     145.383       3.071     148.455      20.186     324.342       0.000      67.181     257.161     145.383      89.847     209.279       8.854       0.000    2064.251       0.000       0.000       0.000       0.000       0.000     145.383       0.000       0.000       3.071       0.000       0.000
   365    12    31  1991      47      47  hru47                604.511       0.000       0.000     128.259      51.030     179.289      15.668     324.876       0.000      66.999     257.877     128.259      88.624     191.059       8.856       0.000    2063.864       0.000       0.000       0.000       0.000       0.000     128.259       0.000       0.000      51.030       0.000       0.000
   365    12    31  1991      48      48  hru48                604.511       0.000       0.000     126.224      56.793     183.017      15.081     324.979       0.000      66.973     258.006     126.224      88.459     188.702       8.856       0.000    2063.389       0.000       0.000       0.000       0.000       0.000     126.224       0.000       0.000      56.793       0.000       0.000
   365    12    31  1991      49      49  hru49                604.511       0.000       0.000     126.723      55.151     181.874      15.233     325.061       0.000      66.992     258.070     126.723      88.502     189.315       8.856       0.000    2062.660       0.000       0.000       0.000       0.000       0.000     126.723       0.000       0.000      55.151       0.000       0.000
   365    12    31  1991      50      50  hru50                604.511       0.000       0.000     123.495      64.860     188.355      14.270     325.035       0.000      66.925     258.110     123.495      88.228     185.447       8.857       0.000    2063.321       0.000       0.000       0.000       0.000       0.000     123.495       0.000       0.000      64.860       0.000       0.000
   365    12    31  1991      51      51  hru51                604.511       0.000       0.000     140.349      13.481     153.830      18.960     324.733       0.000      67.166     257.568     140.349      89.519     204.271       8.846       0.000    2062.425       0.000       0.000       0.000       0.000       0.000     140.349       0.000       0.000      13.481       0.000       0.000
   365    12    31  1991      52      52  hru52                604.511       0.000       0.000     125.277      59.239     184.516      14.813     325.165       0.000      66.975     258.190     125.277      88.383     187.630       8.857       0.000    2062.061       0.000       0.000       0.000       0.000       0.000     125.277       0.000       0.000      59.239       0.000       0.000
   365    12    31  1991      53      53  hru53                604.511       0.000       0.000     139.865      14.612     154.478      18.829     324.631       0.000      67.149     257.483     139.865      89.485     203.744       8.846       0.000    2063.346       0.000       0.000       0.000       0.000       0.000     139.865       0.000       0.000      14.612       0.000       0.000
   365    12    31  1991      54      54  hru54                604.511       0.000       0.000     121.648      70.401     192.049      13.712     325.086       0.000      66.891     258.195     121.648      88.067     183.202       8.857       0.000    2063.120       0.000       0.000       0.000       0.000       0.000     121.648       0.000       0.000      70.401       0.000       0.000
   365    12    31  1991      55      55  hru55                604.511       0.000       0.000     119.309      77.685     196.994      12.988     325.088       0.000      66.837     258.250     119.309      87.855     180.291       8.857       0.000    2063.282       0.000       0.000       0.000       0.000       0.000     119.309       0.000       0.000      77.685       0.000       0.000
   365    12    31  1991      56      56  hru56                604.511       0.000       0.000     120.543      73.662     194.205      13.377     325.168       0.000      66.875     258.293     120.543      87.969     181.857       8.857       0.000    2062.571       0.000       0.000       0.000       0.000       0.000     120.543       0.000       0.000      73.662       0.000       0.000
   365    12    31  1991      57      57  hru57                604.511       0.000       0.000     120.236      74.347     194.584      13.291     325.305       0.000      66.883     258.422     120.236      87.944     181.516       8.857       0.000    2061.519       0.000       0.000       0.000       0.000       0.000     120.236       0.000       0.000      74.347       0.000       0.000
