 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                    flo_in          aqu_in          flo_out          peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len
                                                                    m^3/s           m^3/s           m^3/s          m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m
   365    12    31  1991      19      19  cha19                0.3184E+00     0.0000E+00     0.3184E+00     0.1675E+00     0.2719E-04     0.1616E+03     0.1359E-04     0.1359E-04    -0.1613E+03     0.1613E+03     0.0000E+00     0.3576E+00     0.4597E+00     0.4554E+00     0.9211E-01     0.1985E+00     0.0000E+00     0.2718E-01
   365    12    31  1991      20      20  cha20                0.3183E+00     0.0000E+00     0.3183E+00     0.1675E+00     0.2710E-04     0.2319E+03     0.1355E-04     0.1355E-04    -0.2315E+03     0.2315E+03     0.0000E+00     0.3576E+00     0.4597E+00     0.1873E+01     0.2412E+00     0.7891E+00     0.0000E+00     0.2718E-01
   365    12    31  1991      21      21  cha21                0.2988E+02     0.0000E+00     0.2988E+02     0.1572E+02     0.1540E-04     0.2443E+03     0.7698E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2443E+03     0.6575E+01     0.3850E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.2204E+00
   365    12    31  1991      22      22  cha22                0.2238E+02     0.0000E+00     0.2238E+02     0.1177E+02     0.5889E-05     0.1626E+03     0.2944E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1626E+03     0.5569E+01     0.3447E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.1935E+00
   365    12    31  1991      23      23  cha23                0.1148E+02     0.0000E+00     0.1148E+02     0.6040E+01     0.9516E-05     0.1921E+03     0.4758E-05     0.4758E-05    -0.1367E+03     0.1367E+03     0.0000E+00     0.5550E+02     0.3599E+01     0.3457E+00     0.8135E-02     0.4428E-01     0.0000E+00     0.1366E+00
   365    12    31  1991      24      24  cha24                0.1059E+02     0.0000E+00     0.1059E+02     0.5569E+01     0.1254E-04     0.2120E+04     0.6271E-05     0.6271E-05    -0.2071E+04     0.2071E+04     0.0000E+00     0.4882E+02     0.3423E+01     0.1251E+01     0.2804E-01     0.4228E+00     0.0000E+00     0.1307E+00
   365    12    31  1991      25      25  cha25                0.7146E+01     0.0000E+00     0.7146E+01     0.3759E+01     0.3857E-08     0.2673E+02     0.1929E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2673E+02     0.2708E+01     0.2131E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.1058E+00
   365    12    31  1991      26      26  cha26                0.1011E+02     0.0000E+00     0.1011E+02     0.5318E+01     0.3198E-07     0.7965E+03     0.1599E-07     0.1599E-07    -0.7517E+03     0.7517E+03     0.0000E+00     0.4486E+02     0.3313E+01     0.7741E+00     0.1643E-01     0.2285E+00     0.0000E+00     0.1268E+00
   365    12    31  1991      27      27  cha27                0.9918E+01     0.0000E+00     0.9918E+01     0.5217E+01     0.8578E-08     0.9615E+02     0.4289E-08     0.4289E-08    -0.5350E+02     0.5350E+02     0.0000E+00     0.4266E+02     0.3229E+01     0.3182E+00     0.8016E-02     0.3950E-01     0.0000E+00     0.1258E+00
   365    12    31  1991      28      28  cha28                0.9400E+01     0.0000E+00     0.9400E+01     0.4945E+01     0.8448E-06     0.9377E+02     0.4224E-06     0.4224E-06    -0.5458E+02     0.5458E+02     0.0000E+00     0.3918E+02     0.3119E+01     0.4522E+00     0.1080E-01     0.6622E-01     0.0000E+00     0.1225E+00
   365    12    31  1991      29      29  cha29                0.2720E+00     0.0000E+00     0.2720E+00     0.1431E+00     0.1723E-04     0.1087E+02     0.8613E-05     0.8613E-05    -0.1056E+02     0.1056E+02     0.0000E+00     0.3010E+00     0.4270E+00     0.8199E-01     0.2510E-01     0.1135E-01     0.0000E+00     0.2587E-01
   365    12    31  1991      30      30  cha30                0.6870E+01     0.0000E+00     0.6869E+01     0.3614E+01     0.3598E-06     0.2506E+02     0.1799E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2506E+02     0.2631E+01     0.2091E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.1040E+00
   365    12    31  1991      31      31  cha31                0.6603E+01     0.0000E+00     0.6602E+01     0.3473E+01     0.1349E-04     0.2347E+02     0.6743E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2347E+02     0.2555E+01     0.2050E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.1023E+00
