 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor      temp_stor         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in        temp_in        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out       temp_out
                                                                      ha           ha-m           ha-m           ha-m           m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
   365    12    31  1991      10      10  cha10                0.5281E-01     0.3192E-01     0.6359E-01     0.4626E+00     0.2208E+01     0.4769E-19     0.3434E-08     0.1030E-07     0.3434E-08     0.3434E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1328E-06     0.1328E-06     0.1328E-06     0.1328E-06     0.1328E-06     0.0000E+00     0.0000E+00     0.1390E+01     0.2373E-04     0.6843E+03     0.4639E+02     0.2930E+02     0.5123E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1870E+01     0.6175E+01     0.1656E+02     0.8293E+02     0.3796E+02     0.0000E+00     0.0000E+00     0.1390E+01     0.2373E-07     0.6843E+03     0.4639E+02     0.2930E+02     0.5123E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1870E+01     0.6175E+01     0.1656E+02     0.8293E+02     0.3796E+02     0.0000E+00     0.0000E+00
   365    12    31  1991      11      11  cha11                0.1073E-01     0.6484E-02     0.1292E-01     0.9397E-01     0.1819E+01     0.4946E-19     0.1860E-08     0.5580E-08     0.1860E-08     0.1860E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1578E-06     0.1578E-06     0.1578E-06     0.1578E-06     0.1578E-06     0.0000E+00     0.0000E+00     0.6220E+00     0.2637E-05     0.2718E+03     0.1843E+02     0.1177E+02     0.2190E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7421E+00     0.2450E+01     0.6569E+01     0.3290E+02     0.1506E+02     0.0000E+00     0.0000E+00     0.6219E+00     0.2637E-08     0.2718E+03     0.1843E+02     0.1177E+02     0.2190E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7421E+00     0.2450E+01     0.6569E+01     0.3290E+02     0.1506E+02     0.0000E+00     0.0000E+00
   365    12    31  1991      12      12  cha12                0.1223E-01     0.7392E-02     0.1473E-01     0.1071E+00     0.3178E-01     0.6301E-21     0.9130E-11     0.2739E-10     0.9130E-11     0.9130E-11     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6301E-09     0.6301E-09     0.6301E-09     0.6301E-09     0.6301E-09     0.0000E+00     0.0000E+00     0.3025E+00     0.1293E-04     0.7807E+02     0.5292E+01     0.2968E+01     0.7003E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2120E+00     0.6997E+00     0.1876E+01     0.9396E+01     0.4301E+01     0.0000E+00     0.0000E+00     0.3025E+00     0.1293E-07     0.7807E+02     0.5292E+01     0.2968E+01     0.7003E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2120E+00     0.6997E+00     0.1876E+01     0.9396E+01     0.4301E+01     0.0000E+00     0.0000E+00
   365    12    31  1991      13      13  cha13                0.6786E-01     0.4102E-01     0.8172E-01     0.5945E+00     0.4412E-01     0.1342E-20     0.6040E-10     0.1812E-09     0.6040E-10     0.6040E-10     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1342E-08     0.1342E-08     0.1342E-08     0.1342E-08     0.1342E-08     0.0000E+00     0.0000E+00     0.7959E+00     0.6308E-04     0.3724E+03     0.2525E+02     0.1619E+02     0.2865E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1017E+01     0.3360E+01     0.9013E+01     0.4513E+02     0.2066E+02     0.0000E+00     0.0000E+00     0.7958E+00     0.6308E-07     0.3724E+03     0.2525E+02     0.1619E+02     0.2865E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1017E+01     0.3360E+01     0.9013E+01     0.4513E+02     0.2066E+02     0.0000E+00     0.0000E+00
   365    12    31  1991      14      14  cha14                0.1160E-01     0.7009E-02     0.1396E-01     0.1016E+00     0.6539E+00     0.6963E-19     0.9901E-09     0.2970E-08     0.9901E-09     0.9901E-09     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6963E-07     0.6963E-07     0.6963E-07     0.6963E-07     0.6963E-07     0.0000E+00     0.0000E+00     0.2506E+00     0.1495E-04     0.9170E+02     0.6216E+01     0.5166E+01     0.9292E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2491E+00     0.8224E+00     0.2206E+01     0.1104E+02     0.5055E+01     0.0000E+00     0.0000E+00     0.2506E+00     0.1495E-07     0.9170E+02     0.6216E+01     0.5166E+01     0.9292E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2491E+00     0.8224E+00     0.2206E+01     0.1104E+02     0.5055E+01     0.0000E+00     0.0000E+00
   365    12    31  1991      15      15  cha15                0.1557E-01     0.9415E-02     0.1876E-01     0.1364E+00     0.1098E-01     0.1163E-20     0.1634E-10     0.4901E-10     0.1634E-10     0.1634E-10     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1163E-08     0.1163E-08     0.1163E-08     0.1163E-08     0.1163E-08     0.0000E+00     0.0000E+00     0.2474E+00     0.1507E-04     0.9242E+02     0.6264E+01     0.5079E+01     0.8953E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2512E+00     0.8291E+00     0.2224E+01     0.1113E+02     0.5097E+01     0.0000E+00     0.0000E+00     0.2474E+00     0.1507E-07     0.9242E+02     0.6264E+01     0.5079E+01     0.8953E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2512E+00     0.8291E+00     0.2224E+01     0.1113E+02     0.5097E+01     0.0000E+00     0.0000E+00
   365    12    31  1991      16      16  cha16                0.2159E-01     0.1305E-01     0.2600E-01     0.1891E+00     0.1510E+00     0.1740E-20     0.4118E-10     0.1236E-09     0.4118E-10     0.4118E-10     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1740E-08     0.1740E-08     0.1740E-08     0.1740E-08     0.1740E-08     0.0000E+00     0.0000E+00     0.4977E+00     0.2350E-04     0.1414E+03     0.9585E+01     0.4656E+01     0.1061E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3845E+00     0.1270E+01     0.3406E+01     0.1705E+02     0.7807E+01     0.0000E+00     0.0000E+00     0.4977E+00     0.2350E-07     0.1414E+03     0.9585E+01     0.4656E+01     0.1061E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3845E+00     0.1270E+01     0.3406E+01     0.1705E+02     0.7807E+01     0.0000E+00     0.0000E+00
   365    12    31  1991      17      17  cha17                0.5511E-02     0.3332E-02     0.6637E-02     0.4828E-01     0.8061E-02     0.1001E-20     0.1234E-10     0.3703E-10     0.1234E-10     0.1234E-10     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1001E-08     0.1001E-08     0.1001E-08     0.1001E-08     0.1001E-08     0.0000E+00     0.0000E+00     0.8003E-01     0.6975E-07     0.4173E+00     0.2828E-01     0.2757E+00     0.4876E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1418E-02     0.3985E-02     0.1018E-01     0.4980E-01     0.2296E-01     0.0000E+00     0.0000E+00     0.8003E-01     0.6975E-10     0.4173E+00     0.2828E-01     0.2757E+00     0.4876E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1418E-02     0.3985E-02     0.1018E-01     0.4980E-01     0.2296E-01     0.0000E+00     0.0000E+00
   365    12    31  1991      18      18  cha18                0.2808E-02     0.1697E-02     0.3381E-02     0.2459E-01     0.1016E-01     0.7165E-21     0.1322E-10     0.3966E-10     0.1322E-10     0.1322E-10     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7165E-09     0.7165E-09     0.7165E-09     0.7165E-09     0.7165E-09     0.0000E+00     0.0000E+00     0.3266E+00     0.2419E-04     0.1474E+03     0.9990E+01     0.6472E+01     0.1221E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4019E+00     0.1327E+01     0.3560E+01     0.1783E+02     0.8160E+01     0.0000E+00     0.0000E+00     0.3266E+00     0.2419E-07     0.1474E+03     0.9990E+01     0.6472E+01     0.1221E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4019E+00     0.1327E+01     0.3560E+01     0.1783E+02     0.8160E+01     0.0000E+00     0.0000E+00
   365    12    31  1991      19      19  cha19                0.2226E-01     0.1346E-01     0.2681E-01     0.1950E+00     0.1800E-01     0.1176E-20     0.2105E-10     0.6316E-10     0.2105E-10     0.2105E-10     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1176E-08     0.1176E-08     0.1176E-08     0.1176E-08     0.1176E-08     0.0000E+00     0.0000E+00     0.3184E+00     0.2719E-04     0.1648E+03     0.1117E+02     0.6149E+01     0.1055E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4511E+00     0.1490E+01     0.3995E+01     0.2001E+02     0.9157E+01     0.0000E+00     0.0000E+00     0.3184E+00     0.2719E-07     0.1648E+03     0.1117E+02     0.6149E+01     0.1055E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4511E+00     0.1490E+01     0.3995E+01     0.2001E+02     0.9157E+01     0.0000E+00     0.0000E+00
