	130	0	45	138	122	66	3	-1	29
	122	46	65	130	114	18	3	-1	27
	114	66	73	122	106	90	3	-1	26
	106	74	85	114	98	26	3	-1	19
	98	86	99	106	219	131	3	-1	18
	219	100	127	98	211	51	3	-1	16
	90	128	130	114	147	50	2	-1	7
	147	131	169	90	172	4	2	-1	6
	131	170	188	98	11	58	2	-1	2
	82	189	201	138	1	10	2	-1	2
	66	202	206	130	2	9	2	-1	2
	3	207	215	74	-1	-1	1	-1	1
	1	216	241	82	-1	-1	1	-1	1
	9	242	250	66	-1	-1	1	-1	1
	50	251	262	90	-1	-1	1	-1	1
	34	263	275	74	-1	-1	1	-1	1
	26	276	281	106	-1	-1	1	-1	1
	18	282	284	122	-1	-1	1	-1	1
	10	285	297	82	-1	-1	1	-1	1
	2	298	303	66	-1	-1	1	-1	1
	227	304	326	235	138	195	4	-1	43
	138	327	339	227	130	82	3	-1	31
	211	340	347	219	203	123	3	-1	15
	203	348	359	211	187	107	3	-1	13
	195	360	362	227	171	42	3	-1	12
	187	363	370	203	179	83	3	-1	12
	179	371	374	187	196	28	3	-1	11
	196	375	377	179	188	99	3	-1	10
	42	378	395	195	-1	-1	1	-1	1
	171	396	399	195	163	43	3	-1	11
	163	400	416	171	155	139	3	-1	10
	155	417	432	163	148	67	3	-1	7
	139	433	444	163	74	19	2	-1	3
	172	445	459	147	164	20	2	-1	5
	148	460	481	155	140	115	3	-1	6
	74	482	494	139	3	34	2	-1	2
	28	495	508	179	-1	-1	1	-1	1
	4	509	521	147	-1	-1	1	-1	1
	58	522	526	131	-1	-1	1	-1	1
	123	527	535	211	35	27	2	-1	2
	107	536	543	203	-1	-1	1	-1	1
	91	544	548	115	-1	-1	1	-1	1
	83	549	556	187	-1	-1	1	-1	1
	75	557	558	235	-1	-1	1	-1	1
	67	559	563	155	-1	-1	1	-1	1
	59	564	573	115	-1	-1	1	-1	1
	51	574	576	219	-1	-1	1	-1	1
	43	577	587	171	-1	-1	1	-1	1
	35	588	595	123	-1	-1	1	-1	1
	27	596	607	123	-1	-1	1	-1	1
	19	608	616	139	-1	-1	1	-1	1
	11	617	627	131	-1	-1	1	-1	1
	204	628	637	-1	235	108	4	0	46
	235	638	668	204	227	75	4	-1	44
	188	669	687	196	180	116	3	-1	9
	180	688	700	188	85	93	3	-1	7
	93	701	709	180	77	29	2	-1	5
	85	710	733	180	45	6	2	-1	2
	108	734	842	204	84	92	2	-1	2
	164	843	846	172	156	76	2	-1	4
	156	847	855	164	53	52	2	-1	3
	53	856	887	156	21	5	2	-1	2
	115	888	896	148	59	91	2	-1	2
	99	897	921	196	-1	-1	1	-1	1
	140	922	926	148	124	132	3	-1	4
	132	927	936	140	60	12	2	-1	2
	124	937	949	140	36	100	2	-1	2
	116	950	963	188	68	44	2	-1	2
	100	964	978	124	-1	-1	1	-1	1
	92	979	983	108	-1	-1	1	-1	1
	84	984	985	108	-1	-1	1	-1	1
	76	986	1010	164	-1	-1	1	-1	1
	68	1011	1020	116	-1	-1	1	-1	1
	60	1021	1045	132	-1	-1	1	-1	1
	52	1046	1050	156	-1	-1	1	-1	1
	44	1051	1055	116	-1	-1	1	-1	1
	36	1056	1057	124	-1	-1	1	-1	1
	20	1058	1060	172	-1	-1	1	-1	1
	12	1061	1080	132	-1	-1	1	-1	1
	77	1081	1107	93	69	13	2	-1	4
	69	1108	1111	77	61	22	2	-1	3
	61	1112	1115	69	14	37	2	-1	2
	22	1116	1127	69	-1	-1	1	-1	1
	14	1128	1135	61	-1	-1	1	-1	1
	6	1136	1152	85	-1	-1	1	-1	1
	45	1153	1166	85	-1	-1	1	-1	1
	37	1167	1186	61	-1	-1	1	-1	1
	29	1187	1209	93	-1	-1	1	-1	1
	21	1210	1212	53	-1	-1	1	-1	1
	13	1213	1237	77	-1	-1	1	-1	1
	5	1238	1242	53	-1	-1	1	-1	1
