 TX_LG_GULLY               SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
  jday,   mon,   day,    yr,   unit , gis_id , name           ,      sedyld,     sedorgn,     sedorgp,     surqno3,     lat3no3,    surqsolp,        usle,      sedmin,     tileno3
      ,      ,      ,      ,        ,        ,                ,         tha,        kgha,        kgha,        kgha,        kgha,        kgha,        tons,        ----,        ----
229,8,16,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
230,8,17,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
231,8,18,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
232,8,19,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
233,8,20,1996,1,1,bench           ,0.119,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
234,8,21,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
235,8,22,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
236,8,23,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
237,8,24,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
238,8,25,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
239,8,26,1996,1,1,bench           ,0.460E-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
240,8,27,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
